Apollo 13,8
A Beautiful Mind,5
Star Wars III: Revenge of the Sith,4
Sully,3
Star Wars VII: The Force Awakens,2
Rogue One: A Star Wars Story,2
The Parent Trap ,2
Clueless,2
Breakfast at Tiffany's,2
The Lion King,2
Star Wars IV: A New Hope,2
Psycho,2
The Titanic,2
The Martian,2
Legally Blonde,1
The Devil Wears Prada,1
Space Jam,1
Jaws,1
The Breakfast Club,1
Ferris Bueller's Day Off,1
Home Alone,1
Grease,1
Bohemian Rhapsody,1
The Great Gatsby,1
Divergent,1
E.T.,1
Jurrasic Park,1
Duel,1
The DaVinci Code,1
The Mule,1
